plot,espnurse,target,variable,crescf,cresca
38,angico,angico,ntaxa,-0.0731707317,-0.3536585366
38,angico,cating,ntaxa,-0.0243902439,0.012195122
38,angico,aroeira,ntaxa,-0.0609756098,0.012195122
111,angico,angico,ntaxa,-0.2073170732,0
111,angico,cating,ntaxa,-0.0243902439,0.0487804878
111,angico,aroeira,ntaxa,-0.1463414634,-0.2804878049
58,angico,angico,ntaxa,-0.0243902439,0.1097560976
58,angico,cating,ntaxa,-0.12,-0.04
58,angico,aroeira,ntaxa,-0.1463414634,-0.0243902439
85,angico,angico,ntaxa,-0.0365853659,-0.012195122
85,angico,cating,ntaxa,-0.0487804878,-0.0365853659
85,angico,aroeira,ntaxa,-0.0975609756,-0.1219512195
144,angico,angico,ntaxa,-0.0609756098,-0.4390243902
144,angico,cating,ntaxa,-0.0365853659,-0.0365853659
144,angico,aroeira,ntaxa,-0.1833333333,-0.0166666667
113,algodao,angico,ntaxa,-0.1219512195,-0.3048780488
113,algodao,cating,ntaxa,-0.0487804878,0
113,algodao,aroeira,ntaxa,-0.1333333333,-0.5866666667
123,algodao,angico,ntaxa,-0.0853658537,0.012195122
123,algodao,cating,ntaxa,-0.0533333333,-0.0533333333
123,algodao,aroeira,ntaxa,-0.1219512195,-0.3780487805
122,algodao,angico,ntaxa,-0.0975609756,0
122,algodao,cating,ntaxa,-0.0266666667,0.0133333333
122,algodao,aroeira,ntaxa,-0.1219512195,-0.4512195122
156,algodao,angico,ntaxa,-0.1219512195,-0.0243902439
156,algodao,cating,ntaxa,-0.0666666667,-0.0133333333
156,algodao,aroeira,ntaxa,-0.1219512195,-0.3536585366
157,algodao,angico,ntaxa,-0.0853658537,-0.012195122
157,algodao,cating,ntaxa,-0.04,0.0266666667
157,algodao,aroeira,ntaxa,-0.1097560976,-0.0731707317
41,burra,angico,ntaxa,-0.1463414634,-0.512195122
41,burra,cating,ntaxa,0.243902439,-0.0243902439
41,burra,aroeira,ntaxa,-0.3333333333,-1
102,burra,angico,ntaxa,-0.2195121951,0.012195122
102,burra,cating,ntaxa,-0.0266666667,-0.0533333333
102,burra,aroeira,ntaxa,-0.1097560976,-0.0243902439
81,burra,angico,ntaxa,-0.1219512195,-0.2804878049
81,burra,cating,ntaxa,-0.0365853659,0
81,burra,aroeira,ntaxa,-0.1333333333,0.0166666667
88,burra,angico,ntaxa,-0.0731707317,0.012195122
