plot	nurse	target	tempo	altura_imp	altura_rii	folhas_imp	folhas_rii
113	algodao	angico	1	0.042553191	0.037037037	0	0
113	algodao	angico	2	0.0625	0.056603774	0.076923077	0.090909091
113	algodao	angico	3	0.040816327	0.038461538	0	0
113	algodao	angico	4	0.022222222	0.018181818	0.125	0.111111111
113	algodao	angico	6	0.065217391	0.056603774	0.285714286	0.5
113	algodao	angico	7	0.044444444	0.037037037	0	0
113	algodao	angico	8	0	0	0	0
113	algodao	angico	9	0.205479452	0.365853659	0	0
113	algodao	aroeira	1	0.444444444	0.157894737	0.133333333	0.111111111
113	algodao	aroeira	2	0.433333333	0.178082192	0.095238095	0.111111111
113	algodao	aroeira	3	0.433333333	0.173333333	0.119047619	0.333333333
113	algodao	aroeira	4	0.5	0.215189873	0.166666667	0.076923077
113	algodao	aroeira	6	0.448275862	0.173333333	0.125	0.333333333
113	algodao	aroeira	7	0.448275862	0.173333333	0	0
113	algodao	aroeira	8	0.472527473	1	0.1	1
113	algodao	aroeira	9	0	0	0	0
113	algodao	cating	1	0.042553191	0.037037037	0	0
113	algodao	cating	2	0.0625	0.056603774	0.076923077	0.090909091
113	algodao	cating	3	0.040816327	0.038461538	0	0
113	algodao	cating	4	0.022222222	0.018181818	0.125	0.111111111
113	algodao	cating	6	0.065217391	0.056603774	0.285714286	0.5
113	algodao	cating	7	0.044444444	0.037037037	0	0
113	algodao	cating	8	0	0	0	0
113	algodao	cating	9	0.205479452	0.365853659	0	0
122	algodao	angico	1	0.06	0.058823529	-0.181818182	-0.25
122	algodao	angico	2	-0.021276596	-0.021276596	-0.142857143	-0.25
122	algodao	angico	3	-0.058823529	-0.066666667	-0.2	-0.25
122	algodao	angico	4	-0.020833333	-0.021276596	-0.25	-0.25
122	algodao	angico	6	-0.043478261	-0.043478261	-0.333333333	-0.142857143
122	algodao	angico	7	-0.0625	-0.066666667	0.05	0.2
122	algodao	angico	8	-0.021276596	-0.021276596	0.333333333	0.2
122	algodao	angico	9	0.205479452	0.365853659	0	0
122	algodao	aroeira	1	0.321428571	0.138461538	-0.090909091	-0.047619048
122	algodao	aroeira	2	0.34375	0.174603175	0.055555556	0.047619048
122	algodao	aroeira	3	0.275862069	0.129032258	0.057142857	0.1
122	algodao	aroeira	4	0.259259259	0.111111111	0.4	0.111111111
122	algodao	aroeira	6	0.291666667	0.104477612	-0.142857143	-0.333333333
