plot,nurse,sp,replica,target,media_rii,media_imp
113,algodao,Cochlospermum_vitifolium,1,Anadenanthera_colubrina,0.081987427,0.06081703
122,algodao,Cochlospermum_vitifolium,2,Anadenanthera_colubrina,-0.034926334,-0.06677296
123,algodao,Cochlospermum_vitifolium,3,Anadenanthera_colubrina,0.04509511,0.04161044
156,algodao,Cochlospermum_vitifolium,4,Anadenanthera_colubrina,-0.045442491,-0.05676229
157,algodao,Cochlospermum_vitifolium,5,Anadenanthera_colubrina,-0.02685573,0.01582846
38,angico,Anadenanthera_colubrina,1,Anadenanthera_colubrina,-0.08691365,-0.03291444
58,angico,Anadenanthera_colubrina,2,Anadenanthera_colubrina,-0.023208697,0.00005778
85,angico,Anadenanthera_colubrina,3,Anadenanthera_colubrina,0.22421438,0.05088191
111,angico,Anadenanthera_colubrina,4,Anadenanthera_colubrina,-0.198414618,-0.16979465
144,angico,Anadenanthera_colubrina,5,Anadenanthera_colubrina,0.22290264,0.14151957
41,burra,Sebastiania_macrocarpa,1,Anadenanthera_colubrina,0.228102343,0.12908111
81,burra,Sebastiania_macrocarpa,2,Anadenanthera_colubrina,0.002046936,-0.03396052
88,burra,Sebastiania_macrocarpa,3,Anadenanthera_colubrina,0.13887595,0.03730344
102,burra,Sebastiania_macrocarpa,4,Anadenanthera_colubrina,-0.030881639,-0.06701621
128,burra,Sebastiania_macrocarpa,5,Anadenanthera_colubrina,0.1344154,0.08783999
30,catanduva,Pityrocarpa_moniliformis,1,Anadenanthera_colubrina,0.439083294,0.1144051
43,catanduva,Pityrocarpa_moniliformis,2,Anadenanthera_colubrina,0.070835745,0.0047194
65,catanduva,Pityrocarpa_moniliformis,3,Anadenanthera_colubrina,0.1592643,0.00790034
108,catanduva,Pityrocarpa_moniliformis,4,Anadenanthera_colubrina,0.435659238,0.13729268
131,catanduva,Pityrocarpa_moniliformis,5,Anadenanthera_colubrina,-0.01558198,-0.02756951
21,catingueira,Poincianella_gardneriana,1,Anadenanthera_colubrina,-0.095151642,-0.08524427
35,catingueira,Poincianella_gardneriana,2,Anadenanthera_colubrina,-0.132432577,-0.19168844
64,catingueira,Poincianella_gardneriana,3,Anadenanthera_colubrina,-0.15047513,-0.08003173
95,catingueira,Poincianella_gardneriana,4,Anadenanthera_colubrina,0.04537658,0.01864536
127,catingueira,Poincianella_gardneriana,5,Anadenanthera_colubrina,-0.05379167,-0.06369614
23,cumaru,Amburana_cearensis,1,Anadenanthera_colubrina,-0.161837616,-0.02569613
53,cumaru,Amburana_cearensis,2,Anadenanthera_colubrina,-0.079264149,-0.06980101
97,cumaru,Amburana_cearensis,3,Anadenanthera_colubrina,0.23179519,0.08078472
100,cumaru,Amburana_cearensis,4,Anadenanthera_colubrina,-0.07333418,-0.1328821
149,cumaru,Amburana_cearensis,5,Anadenanthera_colubrina,0.04210181,0.02216672
124,favelinha,Erythroxylum_nummularia,1,Anadenanthera_colubrina,0.003189914,0.00049825
138,favelinha,Erythroxylum_nummularia,2,Anadenanthera_colubrina,-0.142721098,-0.27657878
153,favelinha,Erythroxylum_nummularia,3,Anadenanthera_colubrina,0.21669165,0.00330061
154,favelinha,Erythroxylum_nummularia,4,Anadenanthera_colubrina,0.154035308,0.09310977
155,favelinha,Erythroxylum_nummularia,5,Anadenanthera_colubrina,0.1702939,0.06940916
24,feijao,Cynophalla_hastata,1,Anadenanthera_colubrina,0.159006938,0.07788087
