plot,nurse,target,tempo,altura,folha
19,jubranca,angico,temp1,0.0731707317,-0.3333333333
19,jubranca,angico,temp2,0.0714285714,-0.2727272727
19,jubranca,angico,temp3,0.1,-0.3333333333
19,jubranca,angico,temp4,-1,-1
19,jubranca,angico,temp5,-1,-1
19,jubranca,angico,temp6,-1,-1
19,jubranca,angico,temp7,-1,-1
19,jubranca,angico,temp8,-1,-1
19,jubranca,angico,temp9,-1,-1
19,jubranca,aroeira,temp1,0,-0.2307692308
19,jubranca,aroeira,temp2,-0.0322580645,-0.3636363636
19,jubranca,aroeira,temp3,-0.03125,-0.4
19,jubranca,aroeira,temp4,0,-0.3333333333
19,jubranca,aroeira,temp5,0,-0.3333333333
19,jubranca,aroeira,temp6,0,-0.3333333333
19,jubranca,aroeira,temp7,-0.0153846154,-0.2
19,jubranca,aroeira,temp8,-0.0153846154,0.3333333333
19,jubranca,aroeira,temp9,0.3333333333,-0.0153846154
19,jubranca,cating,temp1,-0.3939393939,0.25
19,jubranca,cating,temp2,-0.375,0.25
19,jubranca,cating,temp3,-0.3529411765,0.1428571429
19,jubranca,cating,temp4,-0.3142857143,-0.3333333333
19,jubranca,cating,temp5,-0.2222222222,-0.3333333333
19,jubranca,cating,temp6,-0.3529411765,-0.3333333333
19,jubranca,cating,temp7,-0.4375,0
19,jubranca,cating,temp8,-1,-1
19,jubranca,cating,temp9,-1,-1
20,jupreta,angico,temp1,0.0149253731,0.2222222222
20,jupreta,angico,temp2,0.0882352941,-0.75
20,jupreta,angico,temp3,-0.0158730159,0.6666666667
20,jupreta,angico,temp4,1,1
20,jupreta,angico,temp5,1,1
20,jupreta,angico,temp6,1,1
20,jupreta,angico,temp7,1,1
20,jupreta,angico,temp8,1,1
20,jupreta,angico,temp9,1,1
20,jupreta,aroeira,temp1,-0.0163934426,-0.037037037
20,jupreta,aroeira,temp2,0.0333333333,0.375
20,jupreta,aroeira,temp3,0.0333333333,0.1111111111
20,jupreta,aroeira,temp4,0,-0.1428571429
20,jupreta,aroeira,temp5,0,0
20,jupreta,aroeira,temp6,0,0
20,jupreta,aroeira,temp7,0.0169491525,0
20,jupreta,aroeira,temp8,0.0169491525,0
20,jupreta,aroeira,temp9,0,0.0175438596
20,jupreta,cating,temp1,0.1785714286,-0.3333333333
20,jupreta,cating,temp2,0.1929824561,0.3333333333
20,jupreta,cating,temp3,0.1428571429,0
20,jupreta,cating,temp4,0.0666666667,0
20,jupreta,cating,temp5,0.125,0
20,jupreta,cating,temp6,0.125,0
20,jupreta,cating,temp7,0.1428571429,0
20,jupreta,cating,temp8,1,1
20,jupreta,cating,temp9,1,1
21,catingueira,angico,temp1,0.164556962,0.5652173913
21,catingueira,angico,temp2,0.1733333333,0.5238095238
21,catingueira,angico,temp3,0.1621621622,-0.6666666667
21,catingueira,angico,temp4,0.1428571429,0
21,catingueira,angico,temp5,0.1428571429,0
21,catingueira,angico,temp6,0.1891891892,0
21,catingueira,angico,temp7,1,1
21,catingueira,angico,temp8,1,1
21,catingueira,angico,temp9,1,1
21,catingueira,aroeira,temp1,0.1549295775,0.1
21,catingueira,aroeira,temp2,0.0333333333,0.1
21,catingueira,aroeira,temp3,-0.0322580645,-0.0666666667
21,catingueira,aroeira,temp4,0.0158730159,-0.6666666667
21,catingueira,aroeira,temp5,0.0491803279,-0.5
21,catingueira,aroeira,temp6,0.0333333333,-0.5
21,catingueira,aroeira,temp7,0.0163934426,-0.3333333333
21,catingueira,aroeira,temp8,0.0476190476,0
21,catingueira,aroeira,temp9,0,0.0333333333
21,catingueira,cating,temp1,-0.1,-0.3333333333
21,catingueira,cating,temp2,-0.186440678,-0.3333333333
21,catingueira,cating,temp3,-0.1428571429,0
21,catingueira,cating,temp4,-0.1428571429,-0.25
21,catingueira,cating,temp5,-0.0163934426,0.5
21,catingueira,cating,temp6,-0.1228070175,0.5
21,catingueira,cating,temp7,-0.1272727273,0
21,catingueira,cating,temp8,-0.1111111111,0
21,catingueira,cating,temp9,0,-0.1724137931
22,jupreta,angico,temp1,-0.1948051948,-0.25
22,jupreta,angico,temp2,-0.2054794521,-0.12
22,jupreta,angico,temp3,-0.2162162162,0.3333333333
22,jupreta,angico,temp4,-0.2564102564,0
22,jupreta,angico,temp5,0.3698630137,-0.0909090909
22,jupreta,angico,temp6,-0.2162162162,0.7142857143
22,jupreta,angico,temp7,-0.1944444444,0.6666666667
22,jupreta,angico,temp8,-0.2054794521,0.3333333333
22,jupreta,angico,temp9,0.3333333333,-0.2105263158
22,jupreta,aroeira,temp1,0.1267605634,-0.2727272727
22,jupreta,aroeira,temp2,0.0153846154,-0.25
22,jupreta,aroeira,temp3,0.0153846154,-0.1818181818
22,jupreta,aroeira,temp4,0.0303030303,0.1428571429
22,jupreta,aroeira,temp5,-0.0447761194,-0.5
22,jupreta,aroeira,temp6,-0.0684931507,-0.0909090909
22,jupreta,aroeira,temp7,0.0076335878,0.1111111111
22,jupreta,aroeira,temp8,-0.0684931507,-0.1428571429
22,jupreta,aroeira,temp9,0.3333333333,0.0588235294
22,jupreta,cating,temp1,0.1470588235,0.1111111111
22,jupreta,cating,temp2,0.2666666667,0.25
22,jupreta,cating,temp3,0.2459016393,0
22,jupreta,cating,temp4,0.2666666667,0.1428571429
