id,nurse,target,indice,var,media_tempo
19,jubranca,angico,RII,altura,-0.5944250871
19,jubranca,angico,RII,folha,-0.7424242424
19,jubranca,aroeira,RII,altura,0.0298820048
19,jubranca,aroeira,RII,folha,-0.1928904429
19,jubranca,cating,RII,altura,-0.5283259327
19,jubranca,cating,RII,folha,-0.2529761905
20,jupreta,angico,RII,altura,0.6359109564
20,jupreta,angico,RII,folha,0.6423611111
20,jupreta,aroeira,RII,altura,0.0105214411
20,jupreta,aroeira,RII,folha,0.0404700989
20,jupreta,cating,RII,altura,0.3561168547
20,jupreta,cating,RII,folha,0.25
21,catingueira,angico,RII,altura,0.4790123487
21,catingueira,angico,RII,folha,0.4277950311
21,catingueira,aroeira,RII,altura,0.0336529607
21,catingueira,aroeira,RII,folha,-0.1666666667
21,catingueira,cating,RII,altura,-0.1166682275
21,catingueira,cating,RII,folha,-0.0736350575
22,jupreta,angico,RII,altura,-0.1444647374
22,jupreta,angico,RII,folha,0.1833865915
22,jupreta,aroeira,RII,altura,0.0489766805
22,jupreta,aroeira,RII,folha,-0.0781899881
22,jupreta,cating,RII,altura,0.4378206228
22,jupreta,cating,RII,folha,0.3879960318
23,cumaru,angico,RII,altura,-0.2310722886
23,cumaru,angico,RII,folha,-0.0758928571
23,cumaru,aroeira,RII,altura,0.3570633849
23,cumaru,aroeira,RII,folha,0.340625
23,cumaru,cating,RII,altura,-0.2701038027
23,cumaru,cating,RII,folha,-0.0535714286
24,feijao,angico,RII,altura,0.445470259
24,feijao,angico,RII,folha,0.5285714286
24,feijao,aroeira,RII,altura,0.5029407546
24,feijao,aroeira,RII,folha,0.3248626374
24,feijao,cating,RII,altura,0.1909846547
24,feijao,cating,RII,folha,0.1270292208
25,marmeleiro,angico,RII,altura,-0.1013610405
25,marmeleiro,angico,RII,folha,0.2083041958
25,marmeleiro,aroeira,RII,altura,-0.0229879276
25,marmeleiro,aroeira,RII,folha,-0.1937895489
25,marmeleiro,cating,RII,altura,0.0118952193
25,marmeleiro,cating,RII,folha,0.0462526206
27,imbiratanha,angico,RII,altura,0.0966195444
27,imbiratanha,angico,RII,folha,0.0964513557
27,imbiratanha,aroeira,RII,altura,-0.032727151
27,imbiratanha,aroeira,RII,folha,-0.016728709
27,imbiratanha,cating,RII,altura,0.0359709248
27,imbiratanha,cating,RII,folha,-0.2029448622
28,paubranco,angico,RII,altura,-0.4179137702
28,paubranco,angico,RII,folha,-0.566983017
28,paubranco,aroeira,RII,altura,0.1715469701
28,paubranco,aroeira,RII,folha,-0.0207954402
28,paubranco,cating,RII,altura,-0.0496231813
28,paubranco,cating,RII,folha,0.189295977
30,catanduva,angico,RII,altura,0.0827142482
30,catanduva,angico,RII,folha,0.3242997199
30,catanduva,aroeira,RII,altura,0.0616649026
30,catanduva,aroeira,RII,folha,-0.1868133133
30,catanduva,cating,RII,altura,0.4263808729
30,catanduva,cating,RII,folha,0.4517857143
32,umbu,angico,RII,altura,-0.0506794301
32,umbu,angico,RII,folha,0.0797317115
32,umbu,aroeira,RII,altura,-0.1809009958
32,umbu,aroeira,RII,folha,0.206844846
32,umbu,cating,RII,altura,-0.0334352924
32,umbu,cating,RII,folha,0.1375
33,paubranco,angico,RII,altura,-0.6245859213
33,paubranco,angico,RII,folha,-0.5791666667
33,paubranco,aroeira,RII,altura,-0.7181372549
33,paubranco,aroeira,RII,folha,-0.9678030303
33,paubranco,cating,RII,altura,-0.2615476527
33,paubranco,cating,RII,folha,0.1405677656
34,ipe,angico,RII,altura,-0.2144183253
34,ipe,angico,RII,folha,0.0887820513
34,ipe,aroeira,RII,altura,-0.073138962
34,ipe,aroeira,RII,folha,0.1021825397
34,ipe,cating,RII,altura,-0.1542291292
34,ipe,cating,RII,folha,0.0233100233
35,catingueira,angico,RII,altura,0.2073780214
35,catingueira,angico,RII,folha,0.0291872211
35,catingueira,aroeira,RII,altura,-0.1928165776
35,catingueira,aroeira,RII,folha,-0.061999293
35,catingueira,cating,RII,altura,-0.1257553045
35,catingueira,cating,RII,folha,-0.1391098485
38,angico,angico,RII,altura,0.1333820693
38,angico,angico,RII,folha,-0.2083016458
