nurse,target,rii
algodao,Anadenanthera_colubrina,0.0039715964
algodao,Myracrodruon_urundeuva,0.0321255746
algodao,Poincianella_gardneriana,0.0039715964
angico,Anadenanthera_colubrina,0.027716011
angico,Myracrodruon_urundeuva,-0.1450910534
angico,Poincianella_gardneriana,0.027716011
burra,Anadenanthera_colubrina,0.094511798
burra,Myracrodruon_urundeuva,-0.0326703726
burra,Poincianella_gardneriana,0.094511798
catanduva,Anadenanthera_colubrina,0.2178521194
catanduva,Myracrodruon_urundeuva,-0.0400386562
catanduva,Poincianella_gardneriana,0.2178521194
catingueira,Anadenanthera_colubrina,-0.0772948878
catingueira,Myracrodruon_urundeuva,-0.0287467894
catingueira,Poincianella_gardneriana,-0.0772948878
cumaru,Anadenanthera_colubrina,-0.008107789
cumaru,Myracrodruon_urundeuva,0.0658365492
cumaru,Poincianella_gardneriana,-0.008107789
favelinha,Anadenanthera_colubrina,0.0802979348
favelinha,Myracrodruon_urundeuva,-0.0186582998
favelinha,Poincianella_gardneriana,0.0802979348
feijao,Anadenanthera_colubrina,0.151901351
feijao,Myracrodruon_urundeuva,-0.0027280288
feijao,Poincianella_gardneriana,0.151901351
imbiratanha,Anadenanthera_colubrina,0.0152561578
imbiratanha,Myracrodruon_urundeuva,-0.0116402982
imbiratanha,Poincianella_gardneriana,0.0152561578
imburana,Anadenanthera_colubrina,-0.0909861884
imburana,Myracrodruon_urundeuva,-0.0529936972
imburana,Poincianella_gardneriana,-0.0909861884
ipe,Anadenanthera_colubrina,-0.0131297784
ipe,Myracrodruon_urundeuva,0.0096117612
ipe,Poincianella_gardneriana,-0.0131297784
jubranca,Anadenanthera_colubrina,0.001844736
jubranca,Myracrodruon_urundeuva,0.0778280214
jubranca,Poincianella_gardneriana,0.001844736
juca,Anadenanthera_colubrina,0.008243528
juca,Myracrodruon_urundeuva,-0.090250888
juca,Poincianella_gardneriana,0.008243528
jupreta,Anadenanthera_colubrina,0.1051893552
jupreta,Myracrodruon_urundeuva,-0.0067599272
jupreta,Poincianella_gardneriana,0.1051893552
marmeleiro,Anadenanthera_colubrina,-0.004074999
marmeleiro,Myracrodruon_urundeuva,0.1850113744
marmeleiro,Poincianella_gardneriana,-0.004074999
mofumbo,Anadenanthera_colubrina,0.0616171886
mofumbo,Myracrodruon_urundeuva,0.0455209494
mofumbo,Poincianella_gardneriana,0.0616171886
mororo,Anadenanthera_colubrina,0.0355555106
mororo,Myracrodruon_urundeuva,-0.0275120926
mororo,Poincianella_gardneriana,0.0355555106
paubranco,Anadenanthera_colubrina,-0.036401108
paubranco,Myracrodruon_urundeuva,-0.0534248994
paubranco,Poincianella_gardneriana,-0.036401108
pereiro,Anadenanthera_colubrina,0.1692652196
pereiro,Myracrodruon_urundeuva,0.079559358
pereiro,Poincianella_gardneriana,0.1692652196
umbu,Anadenanthera_colubrina,0.060467124
umbu,Myracrodruon_urundeuva,-0.0380068804
umbu,Poincianella_gardneriana,0.060467124
