nurse,target,rii,Mdiam_mad,Mvol_mad,Mpseco_mad,Mpeso_fresco_mad,Mpeso_sat_mad,Mthick_casca,Mvol_casca,Mpeso_seco_casca,Mpeso_fresco_casca,Mpeso_sat_casca,Mdens_mad,Mdens_casca,Mcap_arm_mad,Mcap_arm_casca,Mcont_agua_mad,Mcont_agua_casca,Mefet_agua_mad,Mefet_agua_casca
algodao,Anadenanthera_colubrina,0.0039715964,18.0333333333,5.5333333333,1.9066666667,3.9,4.7066666667,2.2333333333,1.3333333333,0.5033333333,1.4,1.6966666667,0.3524912559,0.3761904762,1.5000992182,2.3955026455,1.0676647546,1.7883597884,0.718072906,0.7398067714
algodao,Myracrodruon_urundeuva,0.0321255746,18.0333333333,5.5333333333,1.9066666667,3.9,4.7066666667,2.2333333333,1.3333333333,0.5033333333,1.4,1.6966666667,0.3524912559,0.3761904762,1.5000992182,2.3955026455,1.0676647546,1.7883597884,0.718072906,0.7398067714
algodao,Poincianella_gardneriana,0.0039715964,18.0333333333,5.5333333333,1.9066666667,3.9,4.7066666667,2.2333333333,1.3333333333,0.5033333333,1.4,1.6966666667,0.3524912559,0.3761904762,1.5000992182,2.3955026455,1.0676647546,1.7883597884,0.718072906,0.7398067714
angico,Anadenanthera_colubrina,0.027716011,19.1,4.9266666667,3.9666666667,5.3133333333,6.12,1.1666666667,0.59,0.44,0.7366666667,0.93,0.8045146661,0.7476551227,0.5520225082,1.1298424862,0.3364328214,0.6740775493,0.6218721492,0.5975178602
angico,Myracrodruon_urundeuva,-0.1450910534,19.1,4.9266666667,3.9666666667,5.3133333333,6.12,1.1666666667,0.59,0.44,0.7366666667,0.93,0.8045146661,0.7476551227,0.5520225082,1.1298424862,0.3364328214,0.6740775493,0.6218721492,0.5975178602
angico,Poincianella_gardneriana,0.027716011,19.1,4.9266666667,3.9666666667,5.3133333333,6.12,1.1666666667,0.59,0.44,0.7366666667,0.93,0.8045146661,0.7476551227,0.5520225082,1.1298424862,0.3364328214,0.6740775493,0.6218721492,0.5975178602
burra,Anadenanthera_colubrina,0.094511798,17.2666666667,6.6966666667,5.07,6.9766666667,7.2666666667,0.6333333333,0.4933333333,0.34,0.6,0.9966666667,0.7587369887,0.6736928105,0.4369158926,2.169729488,0.370129641,0.8537894031,0.8502037524,0.3994949495
burra,Myracrodruon_urundeuva,-0.0326703726,17.2666666667,6.6966666667,5.07,6.9766666667,7.2666666667,0.6333333333,0.4933333333,0.34,0.6,0.9966666667,0.7587369887,0.6736928105,0.4369158926,2.169729488,0.370129641,0.8537894031,0.8502037524,0.3994949495
burra,Poincianella_gardneriana,0.094511798,17.2666666667,6.6966666667,5.07,6.9766666667,7.2666666667,0.6333333333,0.4933333333,0.34,0.6,0.9966666667,0.7587369887,0.6736928105,0.4369158926,2.169729488,0.370129641,0.8537894031,0.8502037524,0.3994949495
catanduva,Anadenanthera_colubrina,0.2178521194,19.7666666667,7.0166666667,5.53,7.45,7.9866666667,0.9333333333,0.41,0.2466666667,0.4866666667,0.6166666667,0.7691689914,0.5862864602,0.466908674,1.83704694,0.3520120205,1.1532976827,0.7617628398,0.6305683564
catanduva,Myracrodruon_urundeuva,-0.0400386562,19.7666666667,7.0166666667,5.53,7.45,7.9866666667,0.9333333333,0.41,0.2466666667,0.4866666667,0.6166666667,0.7691689914,0.5862864602,0.466908674,1.83704694,0.3520120205,1.1532976827,0.7617628398,0.6305683564
