id,nurse,target,tempo,var,indice,value
38,angico,angico,temp1,folha,RII,-0.2222222222
38,angico,cating,temp1,folha,RII,0
38,angico,aroeira,temp1,folha,RII,-0.25
111,angico,angico,temp1,folha,RII,0.5
111,angico,cating,temp1,folha,RII,-0.3333333333
111,angico,aroeira,temp1,folha,RII,0.0434782609
58,angico,angico,temp1,folha,RII,-0.8421052632
58,angico,cating,temp1,folha,RII,0.4285714286
58,angico,aroeira,temp1,folha,RII,0.0833333333
85,angico,angico,temp1,folha,RII,-0.1111111111
85,angico,cating,temp1,folha,RII,0
85,angico,aroeira,temp1,folha,RII,-0.1818181818
144,angico,angico,temp1,folha,RII,-0.4736842105
144,angico,cating,temp1,folha,RII,0.25
144,angico,aroeira,temp1,folha,RII,-0.25
113,algodao,angico,temp1,folha,RII,-0.2857142857
113,algodao,cating,temp1,folha,RII,0
113,algodao,aroeira,temp1,folha,RII,0.1111111111
123,algodao,angico,temp1,folha,RII,0
123,algodao,cating,temp1,folha,RII,0.1111111111
123,algodao,aroeira,temp1,folha,RII,0.0526315789
122,algodao,angico,temp1,folha,RII,-0.0526315789
122,algodao,cating,temp1,folha,RII,-0.25
122,algodao,aroeira,temp1,folha,RII,-0.0476190476
156,algodao,angico,temp1,folha,RII,0.2222222222
156,algodao,cating,temp1,folha,RII,0
156,algodao,aroeira,temp1,folha,RII,0
157,algodao,angico,temp1,folha,RII,0.0666666667
157,algodao,cating,temp1,folha,RII,0.1428571429
157,algodao,aroeira,temp1,folha,RII,0.0526315789
41,burra,angico,temp1,folha,RII,0.4117647059
41,burra,cating,temp1,folha,RII,0.5
41,burra,aroeira,temp1,folha,RII,0
102,burra,angico,temp1,folha,RII,0.3571428571
102,burra,cating,temp1,folha,RII,0
102,burra,aroeira,temp1,folha,RII,0.1764705882
81,burra,angico,temp1,folha,RII,0.0526315789
81,burra,cating,temp1,folha,RII,-0.1111111111
81,burra,aroeira,temp1,folha,RII,-0.1
88,burra,angico,temp1,folha,RII,0.2727272727
88,burra,cating,temp1,folha,RII,0.1111111111
88,burra,aroeira,temp1,folha,RII,0.0476190476
128,burra,angico,temp1,folha,RII,0.4
128,burra,cating,temp1,folha,RII,0.1428571429
128,burra,aroeira,temp1,folha,RII,-0.04
30,catanduva,angico,temp1,folha,RII,-0.5294117647
