id,nurse,angico.a,aroeira.a,cating.a,angico.f,aroeira.f,cating.f
19,jubranca,-0.5944250871,0.0298820048,-0.5283259327,-0.7424242424,-0.1928904429,-0.2529761905
20,jupreta,0.6359109564,0.0105214411,0.3561168547,0.6423611111,0.0404700989,0.25
21,catingueira,0.4790123487,0.0336529607,-0.1166682275,0.4277950311,-0.1666666667,-0.0736350575
22,jupreta,-0.1444647374,0.0489766805,0.4378206228,0.1833865915,-0.0781899881,0.3879960318
23,cumaru,-0.2310722886,0.3570633849,-0.2701038027,-0.0758928571,0.340625,-0.0535714286
24,feijao,0.445470259,0.5029407546,0.1909846547,0.5285714286,0.3248626374,0.1270292208
25,marmeleiro,-0.1013610405,-0.0229879276,0.0118952193,0.2083041958,-0.1937895489,0.0462526206
27,imbiratanha,0.0966195444,-0.032727151,0.0359709248,0.0964513557,-0.016728709,-0.2029448622
28,paubranco,-0.4179137702,0.1715469701,-0.0496231813,-0.566983017,-0.0207954402,0.189295977
30,catanduva,0.0827142482,0.0616649026,0.4263808729,0.3242997199,-0.1868133133,0.4517857143
32,umbu,-0.0506794301,-0.1809009958,-0.0334352924,0.0797317115,0.206844846,0.1375
33,paubranco,-0.6245859213,-0.7181372549,-0.2615476527,-0.5791666667,-0.9678030303,0.1405677656
34,ipe,-0.2144183253,-0.073138962,-0.1542291292,0.0887820513,0.1021825397,0.0233100233
35,catingueira,0.2073780214,-0.1928165776,-0.1257553045,0.0291872211,-0.061999293,-0.1391098485
38,angico,0.1333820693,-0.1722333953,-0.1747888386,-0.2083016458,-0.3525206833,0.0009615385
41,burra,-0.3751498114,-0.1055963092,0.1892692013,-0.5874183007,-0.248015873,0.2669354839
43,catanduva,0.0434875509,0.1568662452,-0.0785666049,0.2581145902,-0.1859440267,0.2202380953
46,jubranca,0.1128067411,0.1049852546,-0.0730041246,0.0245535714,0.0940476191,0.1636793123
48,marmeleiro,-0.70195462,0.0715398293,-0.035210084,-0.7054112554,0.0569917583,-0.1294642857
51,marmeleiro,0.0894931771,0.9007936508,0.0773863965,-0.2698074323,0.875,-0.0120879121
52,paubranco,0.4603686115,-0.1330011541,0.383870962,0.45,-0.1987442922,0.1746635611
53,cumaru,0.4439483727,-0.0336834016,0.0600991533,0.5118142206,-0.1970261438,-0.218627451
55,ipe,0.625,-0.2163472158,-0.1696766176,0.6458626513,0.0617370892,0.0548245614
56,jubranca,-0.2103225634,0.2532844817,-0.1106937492,-0.0083333333,0.4831486043,0
57,imburana,-0.1068963444,-0.085397016,0.050008832,0.1645768834,0.10703125,-0.266857349
58,angico,0.0039497704,-0.0110325729,-0.0299130655,-0.4592090428,0.0846726191,-0.016504329
60,mofumbo,-0.3353649008,0.6578047264,-0.2273960535,-0.4683198381,0.566576087,-0.0243506494
61,marmeleiro,0.5295516304,0.1288577168,0.1566260563,0.34326373,0.2553429027,0.1626990241
62,mofumbo,0.5371733024,0.0725715003,0.2584956949,0.9244949495,0.1268298368,-0.0888480392
64,catingueira,0.7826236264,0.2709825914,-0.3139132225,0.8504464286,0.0549967661,0.012962963
65,catanduva,-0.2700497846,0.0985373282,0.2863857466,-0.0714285714,0.1033333333,0.0321428571
