ID,especie,ang_rii,aro_rii,cat_rii,diam_madeira_mm,vol_mad,peso_seco_madeira,peso_fresco_mad,peso_sat_mad,diam_casca,diam2_casca,vol_casca,peso_seco_casca,peso_fresco_casca,peso_sat_casca,H_arvore,diam_copa
113,algodao,0.081987427,0.25231117,0.081987427,14.8,5.3,1.73,3.9,4.38,2.4,1.9,1.8,0.63,2,2.3,7,4.8
156,algodao,-0.045442491,-0.1040086,-0.045442491,22.6,6.4,1.74,3.7,4.91,2.5,1.5,1.4,0.6,1.4,1.8,7,5
157,algodao,-0.02685573,0.011982136,-0.02685573,16.7,4.9,2.25,4.1,4.83,2.4,2.7,0.8,0.28,0.8,0.99,6,4.35
111,angico,-0.198414618,-0.32268543,-0.198414618,19.3,4.8,3.3,4.4,5.5,1.2,0.6,0.4,0.29,0.49,0.65,3.4,2.65
58,angico,-0.023208697,0.036820023,-0.023208697,19,4.19,3.65,4.79,5.44,1,0.7,0.77,0.54,0.94,1.16,4,3.35
144,angico,0.22290264,-0.02686242,0.22290264,19,5.79,4.95,6.75,7.42,1.5,2,0.6,0.49,0.78,0.98,10,12
102,burra,-0.030881639,-0.13214715,-0.030881639,19.7,10.32,7.73,10.79,11.2,0.8,0.7,0.16,0.1,0.2,0.32,4,3.55
88,burra,0.13887595,0.01542356,0.13887595,14.5,3.1,2.35,3.2,3.45,0.3,0.3,0.3,0.21,0.39,0.76,3,2
128,burra,0.1344154,0.046073617,0.1344154,17.6,6.67,5.13,6.94,7.15,1,0.7,1.02,0.71,1.21,1.91,5,3.9
43,catanduva,0.070835745,-0.014538891,0.070835745,17.7,5.71,4.16,5.64,6.33,1.2,0.7,0.17,0.12,0.24,0.33,4,3.2
108,catanduva,0.435659238,-0.035606522,0.435659238,15.8,4.24,3.15,4.29,4.67,0.4,0.5,0.27,0.11,0.29,0.39,7.5,5.05
131,catanduva,-0.01558198,-0.188408988,-0.01558198,25.8,11.1,9.28,12.42,12.96,1.5,1.3,0.79,0.51,0.93,1.13,9,7.55
21,catingueira,-0.095151642,-0.06650685,-0.095151642,24.8,19.34,15.97,22.08,22.26,0.3,0.7,0.26,0.18,0.33,0.41,4,5.25
35,catingueira,-0.132432577,-0.127407935,-0.132432577,19.7,12.17,10.96,14.82,14.97,0.3,0.3,0.25,0.2,0.35,0.45,2.5,4.65
95,catingueira,0.04537658,0.107824415,0.04537658,32.6,14.65,13.37,18.02,18.66,0.3,0.4,0.13,0.11,0.2,0.25,6.5,7.75
97,cumaru,0.23179519,0.21928764,0.23179519,32.4,20.67,13.05,21.96,23.33,1.4,1.9,0.6,0.38,0.71,0.79,5.2,8.1
149,cumaru,0.04210181,0.195972926,0.04210181,30.5,15.55,9.6,16.24,17.65,1.9,1.5,0.34,0.26,0.43,0.47,4.5,5.4
53,cumaru,-0.079264149,-0.115354773,-0.079264149,41.7,41,23.7,42.31,45.78,2.6,2.1,0.62,0.38,0.74,0.9,11,11.15
155,favelinha,0.06940916,0.014081319,0.1702939,14.5,2.79,2.36,3.21,3.37,0.3,0.6,0.17,0.14,0.2,0.28,2,1.5
124,favelinha,0.00049825,-0.09075645,0.003189914,15.5,4.52,3.8,5.18,5.32,0.6,0.6,0.28,0.19,0.33,0.48,3.5,3.235
154,favelinha,0.09310977,0.118529121,0.154035308,11.7,3.42,2.91,4.06,4.28,0.3,0.6,0.13,0.11,0.12,0.23,3.5,0.74
24,feijao,0.159006938,0.4139017,0.159006938,24.8,11.83,8.75,13.46,14.11,1.5,2,0.75,0.41,0.86,1.02,4,4.3
75,feijao,0.23918196,-0.14858925,0.23918196,18.1,8.1,5.8,9.45,9.89,1.2,1.2,0.69,0.31,0.75,0.82,3,2.35
134,feijao,0.16243961,0.100562878,0.16243961,19.2,7.2,5.54,8.57,8.71,1.5,0.6,0.62,0.34,0.68,0.79,3.5,4.15
27,imbiratanha,-0.083486969,-0.02472793,-0.083486969,27.8,15.2,4.75,12.46,13.84,4.8,5.2,1.99,0.65,2.1,2.28,7.5,5.45
73,imbiratanha,0.266475785,0.251422321,0.266475785,22.6,6.12,1.95,4.59,5.5,3.4,3.9,1.47,0.78,1.54,1.8,4.5,2.5
78,imbiratanha,0.1171937,-0.25314822,0.1171937,32.1,15.3,4.02,11.45,13.72,3.6,3.9,1.92,0.68,1.95,2.28,6,3.95
57,imburana,-0.108424258,0.01081712,-0.108424258,24.7,7.65,2.65,5.95,6.8,0.6,0.6,0.2,0.07,0.21,0.25,3.5,2.5
151,imburana,0.25783483,0.128392395,0.25783483,24.9,6.13,1.73,5.02,5.74,0.8,1.1,0.25,0.07,0.3,0.37,4,4.2
76,imburana,-0.03229153,-0.4750072,-0.03229153,42.5,28.32,10.41,27.91,29.52,1.8,1.8,2.6,0.72,2.69,3.23,7.5,5.3
34,ipe,-0.065459553,0.01452179,-0.065459553,25.2,24.44,19.23,27.87,27.93,1.1,1.9,2.56,1.27,2.87,3.66,6,6
132,ipe,0.09033927,0.114384019,0.09033927,15.7,3.79,3.39,4.68,4.78,2.8,2.1,2.45,1.46,2.8,3.71,6,6.55
118,ipe,0.004365079,-0.07260983,0.004365079,20.3,6.69,5.43,7.66,7.77,2.3,1.6,1.77,1.08,2.13,3.3,4.5,5
46,jubranca,0.045337594,0.099516437,0.045337594,19.2,4.34,3.55,4.76,5.4,0.3,0.8,0.05,0.02,0.07,0.12,6,3.25
56,jubranca,-0.05534687,0.36821654,-0.05534687,30,12.08,9.23,11.99,13.81,1.8,1.6,0.23,0.13,0.27,0.38,5.5,8.1
68,jubranca,0.336085937,0.101940252,0.336085937,15.5,3.71,2.74,3.54,4.15,1.2,1,0.13,0.04,0.1,0.13,7.5,5.4
130,juca,-0.155139662,-0.14725397,-0.155139662,18.8,7.7,6.08,8.8,8.9,0.5,0.6,0.62,0.33,0.72,0.86,4.5,7.85
136,juca,0.195005102,-0.139130358,0.195005102,18.5,6.21,4.42,7.23,7.31,1.1,0.9,0.37,0.18,0.42,0.52,4.6,8.95
145,juca,-0.23615829,-0.007501175,-0.23615829,29.6,11.84,9.85,14.47,14.7,0.2,0.3,0.27,0.18,0.34,0.44,4.5,6.15
22,jupreta,0.412908327,-0.014606654,0.412908327,32.3,33.11,27.63,38.28,39.99,2.8,2,1.75,1.09,1.68,2.15,6,6.9
20,jupreta,0.303058427,0.02549577,0.303058427,23.1,7.4,5.76,7.91,8.95,1.2,1.3,0.28,0.19,0.37,0.47,5.5,6.4
125,jupreta,0.012884062,-0.083757392,0.012884062,18,7.36,5.95,8.22,8.61,1.3,1.4,0.65,0.4,0.69,0.82,4,6.75
48,marmeleiro,-0.082337185,0.064265794,-0.082337185,24.4,7.34,5.05,6.74,7.37,1.1,0.8,0.26,0.2,0.31,0.4,3,3.2
51,marmeleiro,0.03264924,0.88789683,0.03264924,16.9,3.54,2.55,3.32,3.58,0.8,0.4,0.51,0.34,0.62,0.76,3.5,2.2
61,marmeleiro,0.15966254,0.19210031,0.15966254,11.4,2.13,1.7,2.2,2.42,0.5,0.6,0.6,0.5,0.8,1.18,2.5,2.55
62,mofumbo,0.084823828,0.099700669,0.084823828,23.5,6.72,5.14,7.03,7.88,0.5,0.9,0.19,0.1,0.21,0.28,3.5,3.65
60,mofumbo,-0.125873352,0.61219041,-0.125873352,12.7,1.77,1.25,1.79,2.07,0.1,0.4,0.18,0.14,0.2,0.32,2,2.4
119,mofumbo,-0.01322045,0.108965746,0.383396657,18.7,4.4,3.49,5.11,5.37,1.2,0.7,0.31,0.2,0.34,0.47,5,3.6
69,mororo,0.100799991,0.04008199,0.100799991,22.4,9.47,7.47,9.8,10.48,2.3,1.5,0.74,0.5,0.8,1.32,3.5,5.5
79,mororo,0.385439482,0.005231313,0.385439482,22.7,10.16,8,10.4,11.14,0.3,0.6,0.96,0.58,0.93,1.56,5.5,2.7
93,mororo,0.1421292,0.060475713,0.1421292,15.4,2.56,2.05,2.67,2.98,0.1,0.5,0.11,0.09,0.12,0.23,3.5,2.75
52,paubranco,0.27926726,-0.16587272,0.27926726,30.4,13.12,8.5,11.77,12.52,1.8,1.2,0.37,0.2,0.36,0.62,6,3.4
28,paubranco,0.069836398,0.07537577,0.069836398,29.3,13.52,8.56,12.26,13.32,1.7,1.6,0.65,0.4,0.68,1.1,6.5,3
110,paubranco,-0.159406564,-0.148696795,-0.159406564,32.2,10.02,6.65,9.46,10.37,1.4,1.7,0.54,0.37,0.62,1,4.5,2.4
101,pereiro,0.30883055,-0.04808952,0.30883055,36.5,22.37,13.7,20.09,21.18,2.5,2.9,0.96,0.62,1.34,1.7,7.5,6.1
129,pereiro,0.449616867,0.065416577,0.449616867,14.2,3.8,2.88,4.04,4.25,1.4,1.7,0.9,0.54,0.95,1.17,8,4.4
147,pereiro,-0.15364442,0.146510658,-0.15364442,14.8,3.94,2.77,3.95,4.05,1.9,1.7,0.56,0.26,0.65,0.77,5,8.1
32,umbu,0.052032354,0.01297193,0.052032354,20.6,5.64,3.36,6.27,6.42,2.3,1.8,0.77,0.25,0.89,1.01,7.5,18.5
115,umbu,0.137992084,-0.208687692,0.137992084,19.2,5.86,3.69,6.46,6.52,2.2,1.9,1.63,0.62,1.79,2.14,6.5,14.95
143,umbu,0.104552092,0.075843288,0.104552092,38.1,19.3,9.78,20,20.29,3.6,2.7,2.12,0.68,2.31,2.83,9,14.9
